p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
0.7759999999999999,,,,,,,,,0.638,,,,,,,,,,,,,,0.55,0.168,,,0.74,,,0.55 ,-0.17,,,,,,,,,,,,,,,,,,,77.5,0.10400000000000001,,,,,,,,,,,,0.62,,,,,0.07,,
0.726,,,,,,,,,0.596,,,,,,,,,,,,,,0.49,0.479,,,0.84,,,0.77 ,0.89,,,,,,,,,,,,,,,,,,,42.5,0.691,,,,,,,,,,,,0.79,,,,,0.22,,
0.851,,,,,,,,,0.695,,,,,,,,,,,,,,-0.06,0.006999999999999999,,,0.64,,,0.34 ,0.91,,,,,,,,,,,,,,,,,,,22.2,0.358,,,,,,,,,,,,0.66,,,,,0.18,,
0.518,,,,,,,,,0.81,,,,,,,,,,,,,,1.12,0.588,,,0.84,,,2.02 ,0.38,,,,,,,,,,,,,,,,,,,22.5,0.8340000000000001,,,,,,,,,,,,0.62,,,,,0.36,,
0.847,,,,,,,,,0.35700000000000004,,,,,,,,,,,,,,0.15,0.629,,,-0.14,,,0.68 ,0.78,,,,,,,,,,,,,,,,,,,74.3,0.048,,,,,,,,,,,,0.7,,,,,0.61,,
1.128,,,,,,,,,0.312,,,,,,,,,,,,,,0.08,0.043,,,0.74,,,0.53 ,0.89,,,,,,,,,,,,,,,,,,,55.5,0.055,,,,,,,,,,,,0.65,,,,,0.22,,
0.693,,,,,,,,,0.49,,,,,,,,,,,,,,-0.04,0.5539999999999999,,,0.72,,,0.22 ,0.23,,,,,,,,,,,,,,,,,,,41.7,0.019,,,,,,,,,,,,0.7,,,,,0.24,,
0.833,,,,,,,,,0.517,,,,,,,,,,,,,,0.44,0.8079999999999999,,,0.43,,,-0.67 ,0.51,,,,,,,,,,,,,,,,,,,79.0,0.125,,,,,,,,,,,,0.79,,,,,0.74,,
0.759,,,,,,,,,0.595,,,,,,,,,,,,,,0.33,0.304,,,0.87,,,0.14 ,0.7,,,,,,,,,,,,,,,,,,,22.0,0.991,,,,,,,,,,,,,,,,,1.6977,,
1.0490000000000002,,,,,,,,,0.55,,,,,,,,,,,,,,0.28,0.45299999999999996,,,0.89,,,-0.28 ,0.77,,,,,,,,,,,,,,,,,,,0.87,1.18,,,,,,,,,,,,,,,,,2.3482,,
0.851,,,,,,,,,,,,,,,,,,,,,,,0.62,0.003,,,0.36,,,0.17 ,1.25,,,,,,,,,,,,,,,,,,,0.94,0.903,,,,,,,,,,,,,,,,,2.8591,,
0.5770000000000001,,,,,,,,,,,,,,,,,,,,,,,1.03,0.006,,,0.58,,,-0.08 ,0.71,,,,,,,,,,,,,,,,,,,0.36,1.087,,,,,,,,,,,,,,,,,-2.3116,,
1.3230000000000002,,,,,,,,,,,,,,,,,,,,,,,0.36,0.311,,,0.78,,,-0.17 ,0.51,,,,,,,,,,,,,,,,,,,0.81,0.201,,,,,,,,,,,,,,,,,-2.9703,,
0.612,,,,,,,,,,,,,,,,,,,,,,,0.52,0.358,,,0.7,,,0.42 ,0.94,,,,,,,,,,,,,,,,,,,0.99,0.46799999999999997,,,,,,,,,,,,,,,,,-3.993,,
0.846,,,,,,,,,,,,,,,,,,,,,,,0.41,0.523,,,0.63,,,0.19 ,0.59,,,,,,,,,,,,,,,,,,,0.92,0.23,,,,,,,,,,,,,,,,,,,
0.688,,,,,,,,,,,,,,,,,,,,,,,0.81,0.408,,,0.76,,,0.52 ,0.65,,,,,,,,,,,,,,,,,,,0.94,0.494,,,,,,,,,,,,,,,,,,,
0.624,,,,,,,,,,,,,,,,,,,,,,,0.4,0.08900000000000001,,,0.65,,,0.57 ,0.76,,,,,,,,,,,,,,,,,,,0.75,0.135,,,,,,,,,,,,,,,,,,,
